altura,nome,genero,nascimento,est_civil
188,RENAN G,Masc,25/10/1999,solteiro
158,RITA,Fem,03/10/2001,solteiro
178,RITA P,Fem,24/10/2001,solteiro
152,ROBSON,Masc,13/06/1998,solteiro
165,ROBSON T,Masc,14/09/2000,solteiro
164,SANDRA,Fem,19/11/2003,solteiro
181,SANDRA K,Fem,17/10/2004,solteiro
163,SILVANA,Fem,13/05/1998,solteiro
151,SIMONE,Fem,18/04/1997,solteiro
168,SIMONE P,Fem,27/11/2002,solteiro
140,VANIA,Fem,12/08/1998,solteiro
175,VICTOR,Masc,19/03/2000,solteiro
176,VICTOR W,Masc,23/04/1998,solteiro
